"Affiliation","Corrected_Affiliation","Affiliation_Used","Frequency","lat","lon","display_name","country","state","city","country_from_coords"
"University of Oxford; Nuffield College, University of Oxford; Oxford University; All Souls College, Oxford University; Oxford; St Hilda's College, Oxford; St Hilda's College, University of Oxford; University of Oxford, Nuffield College","NA; University of Oxford; University of Oxford; University of Oxford; University of Oxford; University of Oxford; University of Oxford; University of Oxford","University of Oxford",63,51.7583164,-1.2651449,"Oxford University Press, Jericho, Oxford, Oxfordshire, England, OX2 6DP, United Kingdom",NA,NA,NA,"United Kingdom"
"Aarhus University; Department of Political Science, Aarhus University; Aarhus University; University of Gothenburg; Aarhus Unversity; University of Aarhus","NA; Aarhus University; Aarhus University; Aarhus University; Aarhus University","Aarhus University",61,56.1670905,10.2026177,"Aarhus Universitet, Ringkøbingvej, Fuglebakken, Aarhus, Aarhus Kommune, Region Midtjylland, 8000, Danmark",NA,NA,NA,"Denmark"
"University of Gothenburg; Gothenburg University; Department of Political Science, University of Gothenburg; Governance and Local Development Institute; University of Gothenburg; University of Gothenburg; Sahlgrenska Academy, Gothenburg; University of Gothenburg; Aarhus University","NA; University of Gothenburg; University of Gothenburg; University of Gothenburg; University of Gothenburg; University of Gothenburg","University of Gothenburg",55,57.6985465,11.9712422,"Göteborgs universitet, 5, Universitetsplatsen, Vasastaden, Centrum, Göteborg, Göteborgs Stad, Västra Götalands län, 411 24, Sverige",NA,NA,NA,"Sweden"
"Universidad Carlos III de Madrid; Universidad Carlos III; Universidad Carlos III; Juan March Institute; University Carlos 3 Madrid; University Carlos III of Madrid; Carlos III University of Madrid; Carlos III-Juan March Institute/University Carlos III of Madrid; National University of Distance Education and University Carlos III Madrid; Universidad Carlos III de Madrid (UC3M); Universidad Carlos III de Madrid; IC; Universidad Carlos III de Madrid; Instituto Carlos III - Juan March; Universidad Carlos III de Madrid–IC; Carlos III University - IC; Carlos III University Madrid; Carlos III University in Madrid & Carlos III-Juan March Institute; Carlos III-Juan March Institute, Carlos III University; Universidad Carlos III de Madrid; Instituto Mixto Carlos III- Juan March","NA; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid; Universidad Carlos III de Madrid","Universidad Carlos III de Madrid",53,40.3150937,-3.7248793,"Universidad Carlos III de Madrid, Calle Pensamiento, Las Margaritas, Getafe, Comunidad de Madrid, 28903, España",NA,NA,NA,"Spain"
"University of Barcelona; Universitat Autònoma de Barcelona; Autonomous University of Barcelona; Universitat de Barcelona; Universitat Autònoma de Barcelona - UAB; University of Barcelona; Barcelona Supercomputing Center; Universitat Autònoma de Barcelona (UAB); Universitat Autònoma de Barcelona; University of Oslo; Universitat de Barcelona (UB); University of Barcelona (IEB, IPERC), Ivàlua; University of Barcelona, Institut Barcelona d'Estudis Internacionals; University of Basel; University of Zurich","NA; University of Barcelona; University of Barcelona; University of Barcelona; University of Barcelona; University of Barcelona; University of Barcelona; University of Barcelona; University of Barcelona; University of Barcelona; University of Barcelona; University of Barcelona","University of Barcelona",51,41.3868595,2.1634784,"Universitat de Barcelona, Gran Via de les Corts Catalanes, l'Antiga Esquerra de l'Eixample, Eixample, Barcelona, Barcelonès, Barcelona, Catalunya, 08011, España",NA,NA,NA,"Spain"
"University of Zurich; University of Zurich (UZH); University of Zurich; University of Konstanz","NA; University of Zurich; University of Zurich","University of Zurich",49,47.3737735,8.550955,"Universität Zürich (UZH), Zentrum, Doktor-Faust-Gasse, Hochschulen, Altstadt, Zürich, Bezirk Zürich, Zürich, 8092, Schweiz/Suisse/Svizzera/Svizra",NA,NA,NA,"Switzerland"
"European University Institute; EUI; European University Institute (EUI); European University Institute; King's College London; European University Institute; McGill University; European University Institute; University of Essex; European University Institute; University of Lausanne","NA; European University Institute; European University Institute; European University Institute; European University Institute; European University Institute; European University Institute","European University Institute",47,41.9941115,21.4238237,"Европски универзитет, 68, Булевар Свети Климент Охридски, Буњаковец, Центар, Скопје, Општина Центар, Град Скопје, 1000, Северна Македонија",NA,NA,NA,"North Macedonia"
"ETH Zurich; ETH Zürich; ETH Zurich, Center for International Studies (CIS); ETH Zurich; Immigration Policy Lab","NA; ETH Zurich; ETH Zurich; ETH Zurich","ETH Zurich",44,47.4083275,8.507564,"ETH Zürich, Hönggerberg, Schauenbergstrasse, Höngg, Kreis 10, Zürich, Bezirk Zürich, Zürich, 8093, Schweiz/Suisse/Svizzera/Svizra",NA,NA,NA,"Switzerland"
"London School of Economics; London School of Economics and Political Science; LSE; . London School of Economics and Political Science; Department of Government, LSE; Department of Government, London School of Economics and Political Science; London School of Economic and Political Science; London School of Economics and Political Sciences; London School of Economics; Potsdam University","NA; London School of Economics; London School of Economics; London School of Economics; London School of Economics; London School of Economics; London School of Economics; London School of Economics; London School of Economics","London School of Economics",42,51.5146049,-0.1164525,"London School of Economics and Political Science, Houghton Street, St Clement Danes, Holborn, London, Greater London, England, WC2A 2AE, United Kingdom",NA,NA,NA,"United Kingdom"
"Humboldt-Universität zu Berlin; Humboldt University of Berlin; Humboldt University Berlin; Humboldt University; Humboldt Universität zu Berlin; Humboldt-University of Berlin; Humboldt-University Berlin; Humboldt-Universität zu Berlin; Leibniz Institute of Vegetable and Ornamental Crops (IGZ); International Security and Development Center; Humboldt-Universität zu Berlin","NA; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin","Humboldt-Universität zu Berlin",36,52.5185793,13.3935975,"Humboldt-Universität zu Berlin - Campus Mitte, Unter den Linden, Dorotheenstadt, Mitte, Berlin, 10117, Deutschland",NA,NA,NA,"Germany"
